1. Matches(date=7:1:2022, team1=FC Bayern Munich, team2=Borussia Monchengladbach, result=1:02, watchers=NULL, stadium=NULL)
122. Matches(date=23:4:2022, team1=SpVgg Greuther Fürth, team2=Bayer 04 Leverkusen, result=1:04, watchers=11579, stadium=NULL)
123. Matches(date=23:4:2022, team1=Eintracht Frankfurt, team2=TSG 1899 Hoffenheim, result=2:02, watchers=50500, stadium=NULL)
124. Matches(date=23:4:2022, team1=FC Bayern Munich, team2=Borussia Dortmund, result=3:01, watchers=75000, stadium=NULL)
125. Matches(date=24:4:2022, team1=VfL Bochum, team2=FC Augsburg, result=0:02, watchers=23500, stadium=NULL)
126. Matches(date=24:4:2022, team1=Hertha BSC, team2=Stuttgart, result=2:00, watchers=54589, stadium=NULL)
127. Matches(date=29:4:2022, team1=1. FC Union Berlin, team2=SpVgg Greuther Fürth, result=1:01, watchers=22012, stadium=NULL)
128. Matches(date=30:4:2022, team1=Borussia Dortmund, team2=VfL Bochum, result=3:04, watchers=81365, stadium=NULL)
129. Matches(date=30:4:2022, team1=Arminia Bielefeld, team2=Hertha BSC, result=1:01, watchers=26021, stadium=NULL)
130. Matches(date=30:4:2022, team1=1. FSV Mainz 05, team2=FC Bayern Munich, result=3:01, watchers=33305, stadium=NULL)
131. Matches(date=30:4:2022, team1=Stuttgart, team2=VfL Wolfsburg, result=1:01, watchers=52230, stadium=NULL)
132. Matches(date=30:4:2022, team1=FC Augsburg, team2=1. FC Cologne, result=1:04, watchers=29511, stadium=NULL)
133. Matches(date=30:4:2022, team1=TSG 1899 Hoffenheim, team2=Freiburg, result=3:04, watchers=23627, stadium=NULL)
134. Matches(date=2:5:2022, team1=Borussia Monchengladbach, team2=RB Leipzig, result=3:01, watchers=35324, stadium=NULL)
135. Matches(date=2:5:2022, team1=Bayer 04 Leverkusen, team2=Eintracht Frankfurt, result=2:00, watchers=26492, stadium=NULL)
136. Matches(date=6:5:2022, team1=VfL Bochum, team2=Arminia Bielefeld, result=2:01, watchers=25000, stadium=NULL)
137. Matches(date=7:5:2022, team1=Freiburg, team2=1. FC Union Berlin, result=1:04, watchers=34700, stadium=NULL)
138. Matches(date=7:5:2022, team1=TSG 1899 Hoffenheim, team2=Bayer 04 Leverkusen, result=2:04, watchers=20033, stadium=NULL)
139. Matches(date=7:5:2022, team1=1. FC Cologne, team2=VfL Wolfsburg, result=0:01, watchers=50000, stadium=NULL)
140. Matches(date=7:5:2022, team1=SpVgg Greuther Fürth, team2=Borussia Dortmund, result=1:03, watchers=16626, stadium=NULL)
141. Matches(date=7:5:2022, team1=Hertha BSC, team2=1. FSV Mainz 05, result=1:02, watchers=71548, stadium=NULL)
142. Matches(date=8:5:2022, team1=Eintracht Frankfurt, team2=Borussia Monchengladbach, result=1:01, watchers=51500, stadium=NULL)
143. Matches(date=8:5:2022, team1=FC Bayern Munich, team2=Stuttgart, result=2:02, watchers=75000, stadium=NULL)
144. Matches(date=8:5:2022, team1=RB Leipzig, team2=FC Augsburg, result=4:00, watchers=37029, stadium=NULL)
145. Matches(date=14:5:2022, team1=Stuttgart, team2=1. FC Cologne, result=2:01, watchers=52230, stadium=Mercedes-Benz Arena)
146. Matches(date=14:5:2022, team1=Bayer 04 Leverkusen, team2=Freiburg, result=2:01, watchers=30210, stadium=BayArena)
147. Matches(date=14:5:2022, team1=VfL Wolfsburg, team2=FC Bayern Munich, result=2:02, watchers=30000, stadium=Volkswagen Arena)
148. Matches(date=14:5:2022, team1=Borussia Dortmund, team2=Hertha BSC, result=2:01, watchers=80500, stadium=Signal Iduna Park)
149. Matches(date=14:5:2022, team1=FC Augsburg, team2=SpVgg Greuther Fürth, result=2:01, watchers=27907, stadium=WWK Arena)
150. Matches(date=14:5:2022, team1=1. FSV Mainz 05, team2=Eintracht Frankfurt, result=2:02, watchers=33000, stadium=Mewa Arena)
151. Matches(date=14:5:2022, team1=Arminia Bielefeld, team2=RB Leipzig, result=1:01, watchers=22719, stadium=SchücoArena)
152. Matches(date=14:5:2022, team1=1. FC Union Berlin, team2=VfL Bochum, result=3:02, watchers=22012, stadium=Stadion An der Alten Försterei)
153. Matches(date=14:5:2022, team1=Borussia Monchengladbach, team2=TSG 1899 Hoffenheim, result=5:01, watchers=50395, stadium=Borussia-Park)
154. Matches(date=5:8:2022, team1=Eintracht Frankfurt, team2=FC Bayern Munich, result=1:06, watchers=51500, stadium=Deutsche Bank Park)
155. Matches(date=6:8:2022, team1=VfL Bochum, team2=1. FSV Mainz 05, result=1:02, watchers=24110, stadium=Vonovia Ruhrstadion)
156. Matches(date=6:8:2022, team1=VfL Wolfsburg, team2=Werder Bremen, result=2:02, watchers=28015, stadium=Volkswagen Arena)
157. Matches(date=6:8:2022, team1=Borussia Monchengladbach, team2=TSG 1899 Hoffenheim, result=3:01, watchers=49659, stadium=Borussia-Park)
158. Matches(date=6:8:2022, team1=1. FC Union Berlin, team2=Hertha BSC, result=3:01, watchers=22012, stadium=Stadion An der Alten Försterei)
159. Matches(date=6:8:2022, team1=FC Augsburg, team2=Freiburg, result=0:04, watchers=25310, stadium=WWK Arena)
160. Matches(date=6:8:2022, team1=Borussia Dortmund, team2=Bayer 04 Leverkusen, result=1:00, watchers=81365, stadium=Signal Iduna Park)
161. Matches(date=7:8:2022, team1=Stuttgart, team2=RB Leipzig, result=1:01, watchers=46000, stadium=Mercedes-Benz Arena)
162. Matches(date=7:8:2022, team1=1. FC Cologne, team2=FC Schalke 04, result=3:01, watchers=50000, stadium=RheinEnergieSTADION)
163. Matches(date=12:8:2022, team1=Freiburg, team2=Borussia Dortmund, result=1:03, watchers=34700, stadium=Europa-Park Stadion)
164. Matches(date=13:8:2022, team1=Bayer 04 Leverkusen, team2=FC Augsburg, result=1:02, watchers=22903, stadium=BayArena)
165. Matches(date=13:8:2022, team1=Werder Bremen, team2=Stuttgart, result=2:02, watchers=41000, stadium=Weser-Stadion)
166. Matches(date=13:8:2022, team1=Hertha BSC, team2=Eintracht Frankfurt, result=1:01, watchers=44694, stadium=Olympiastadion Berlin)
167. Matches(date=13:8:2022, team1=TSG 1899 Hoffenheim, team2=VfL Bochum, result=3:02, watchers=17005, stadium=PreZero Arena)
168. Matches(date=13:8:2022, team1=RB Leipzig, team2=1. FC Cologne, result=2:02, watchers=43579, stadium=Red Bull Arena)
169. Matches(date=13:8:2022, team1=FC Schalke 04, team2=Borussia Monchengladbach, result=2:02, watchers=62271, stadium=Veltins-Arena)
170. Matches(date=14:8:2022, team1=1. FSV Mainz 05, team2=1. FC Union Berlin, result=0:00, watchers=25009, stadium=Mewa Arena)
171. Matches(date=14:8:2022, team1=FC Bayern Munich, team2=VfL Wolfsburg, result=2:00, watchers=75000, stadium=Allianz Arena)
172. Matches(date=19:8:2022, team1=Borussia Monchengladbach, team2=Hertha BSC, result=1:00, watchers=48411, stadium=Borussia-Park)
173. Matches(date=20:8:2022, team1=Stuttgart, team2=Freiburg, result=0:01, watchers=47500, stadium=Mercedes-Benz Arena)
174. Matches(date=20:8:2022, team1=Borussia Dortmund, team2=Werder Bremen, result=2:03, watchers=81365, stadium=Signal Iduna Park)
175. Matches(date=20:8:2022, team1=VfL Wolfsburg, team2=FC Schalke 04, result=0:00, watchers=26959, stadium=Volkswagen Arena)
176. Matches(date=20:8:2022, team1=FC Augsburg, team2=1. FSV Mainz 05, result=1:02, watchers=23755, stadium=WWK Arena)
177. Matches(date=20:8:2022, team1=Bayer 04 Leverkusen, team2=TSG 1899 Hoffenheim, result=0:03, watchers=26300, stadium=BayArena)
178. Matches(date=20:8:2022, team1=1. FC Union Berlin, team2=RB Leipzig, result=2:01, watchers=21056, stadium=Stadion An der Alten Försterei)
179. Matches(date=21:8:2022, team1=Eintracht Frankfurt, team2=1. FC Cologne, result=1:01, watchers=50800, stadium=Deutsche Bank Park)
180. Matches(date=21:8:2022, team1=VfL Bochum, team2=FC Bayern Munich, result=0:07, watchers=26000, stadium=Vonovia Ruhrstadion)
181. Matches(date=26:8:2022, team1=Freiburg, team2=VfL Bochum, result=1:00, watchers=32800, stadium=Europa-Park Stadion)
182. Matches(date=27:8:2022, team1=RB Leipzig, team2=VfL Wolfsburg, result=2:00, watchers=41243, stadium=Red Bull Arena)
183. Matches(date=27:8:2022, team1=Hertha BSC, team2=Borussia Dortmund, result=0:01, watchers=62142, stadium=Olympiastadion Berlin)
184. Matches(date=27:8:2022, team1=1. FSV Mainz 05, team2=Bayer 04 Leverkusen, result=0:03, watchers=28500, stadium=Mewa Arena)
185. Matches(date=27:8:2022, team1=TSG 1899 Hoffenheim, team2=FC Augsburg, result=1:00, watchers=17206, stadium=PreZero Arena)
186. Matches(date=27:8:2022, team1=FC Schalke 04, team2=1. FC Union Berlin, result=1:06, watchers=62271, stadium=Veltins-Arena)
187. Matches(date=27:8:2022, team1=FC Bayern Munich, team2=Borussia Monchengladbach, result=1:01, watchers=75000, stadium=Allianz Arena)
188. Matches(date=28:8:2022, team1=1. FC Cologne, team2=Stuttgart, result=0:00, watchers=50000, stadium=RheinEnergieSTADION)
189. Matches(date=28:8:2022, team1=Werder Bremen, team2=Eintracht Frankfurt, result=3:04, watchers=41000, stadium=Weser-Stadion)
190. Matches(date=2:9:2022, team1=Borussia Dortmund, team2=TSG 1899 Hoffenheim, result=1:00, watchers=79300, stadium=Signal Iduna Park)
191. Matches(date=3:9:2022, team1=Stuttgart, team2=FC Schalke 04, result=1:01, watchers=47500, stadium=Mercedes-Benz Arena)
192. Matches(date=3:9:2022, team1=VfL Bochum, team2=Werder Bremen, result=0:02, watchers=25800, stadium=Vonovia Ruhrstadion)
193. Matches(date=3:9:2022, team1=Bayer 04 Leverkusen, team2=Freiburg, result=2:03, watchers=26853, stadium=BayArena)
194. Matches(date=3:9:2022, team1=1. FC Union Berlin, team2=FC Bayern Munich, result=1:01, watchers=22012, stadium=Stadion An der Alten Försterei)
195. Matches(date=3:9:2022, team1=VfL Wolfsburg, team2=1. FC Cologne, result=2:04, watchers=25654, stadium=Volkswagen Arena)
196. Matches(date=3:9:2022, team1=Eintracht Frankfurt, team2=RB Leipzig, result=4:00, watchers=49700, stadium=Deutsche Bank Park)
197. Matches(date=4:9:2022, team1=FC Augsburg, team2=Hertha BSC, result=0:02, watchers=25789, stadium=WWK Arena)
198. Matches(date=4:9:2022, team1=Borussia Monchengladbach, team2=1. FSV Mainz 05, result=0:01, watchers=51210, stadium=Borussia-Park)
199. Matches(date=9:9:2022, team1=Werder Bremen, team2=FC Augsburg, result=0:01, watchers=41000, stadium=Weser-Stadion)
200. Matches(date=10:9:2022, team1=Hertha BSC, team2=Bayer 04 Leverkusen, result=2:02, watchers=40643, stadium=Olympiastadion Berlin)
201. Matches(date=10:9:2022, team1=TSG 1899 Hoffenheim, team2=1. FSV Mainz 05, result=4:01, watchers=20114, stadium=PreZero Arena)
202. Matches(date=10:9:2022, team1=Eintracht Frankfurt, team2=VfL Wolfsburg, result=0:01, watchers=49000, stadium=Deutsche Bank Park)
203. Matches(date=10:9:2022, team1=FC Bayern Munich, team2=Stuttgart, result=2:02, watchers=75000, stadium=Allianz Arena)
204. Matches(date=10:9:2022, team1=RB Leipzig, team2=Borussia Dortmund, result=3:00, watchers=47069, stadium=Red Bull Arena)
205. Matches(date=10:9:2022, team1=FC Schalke 04, team2=VfL Bochum, result=3:01, watchers=62041, stadium=Veltins-Arena)
206. Matches(date=11:9:2022, team1=1. FC Cologne, team2=1. FC Union Berlin, result=0:01, watchers=49500, stadium=RheinEnergieSTADION)
207. Matches(date=11:9:2022, team1=Freiburg, team2=Borussia Monchengladbach, result=0:00, watchers=34700, stadium=Europa-Park Stadion)
208. Matches(date=16:9:2022, team1=1. FSV Mainz 05, team2=Hertha BSC, result=1:01, watchers=25300, stadium=Mewa Arena)
209. Matches(date=17:9:2022, team1=Borussia Dortmund, team2=FC Schalke 04, result=1:00, watchers=81100, stadium=Signal Iduna Park)
210. Matches(date=17:9:2022, team1=Bayer 04 Leverkusen, team2=Werder Bremen, result=1:01, watchers=30210, stadium=BayArena)
211. Matches(date=17:9:2022, team1=FC Augsburg, team2=FC Bayern Munich, result=1:00, watchers=30660, stadium=WWK Arena)
